# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
8310,3.11E-06,8310,1.12E-05,8310,2.64E-05,8310,5.55E-05
8340,2.99E-06,8340,1.06E-05,8340,2.60E-05,8340,5.44E-05
8370,2.85E-06,8370,1.02E-05,8370,2.56E-05,8370,5.31E-05
8400,2.67E-06,8400,9.83E-06,8400,2.53E-05,8400,5.19E-05
8430,2.50E-06,8430,9.51E-06,8430,2.50E-05,8430,5.06E-05
8460,2.27E-06,8460,9.31E-06,8460,2.48E-05,8460,4.93E-05
8490,2.08E-06,8490,9.14E-06,8490,2.46E-05,8490,4.82E-05
8520,2.11E-06,8520,8.95E-06,8520,2.44E-05,8520,4.74E-05
8550,2.37E-06,8550,8.73E-06,8550,2.44E-05,8550,4.71E-05
8580,2.57E-06,8580,8.37E-06,8580,2.44E-05,8580,4.67E-05
8610,2.71E-06,8610,8.05E-06,8610,2.44E-05,8610,4.53E-05
8640,2.90E-06,8640,7.85E-06,8640,2.45E-05,8640,4.42E-05
8670,3.03E-06,8670,7.71E-06,8670,2.45E-05,8670,4.30E-05
8700,3.12E-06,8700,7.63E-06,8700,2.49E-05,8700,4.17E-05
8730,3.25E-06,8730,7.74E-06,8730,2.48E-05,8730,4.05E-05
8760,3.39E-06,8760,7.89E-06,8760,2.46E-05,8760,3.93E-05
8790,3.39E-06,8790,7.93E-06,8790,2.44E-05,8790,3.85E-05
8820,3.30E-06,8820,7.93E-06,8820,2.41E-05,8820,3.80E-05
8850,3.18E-06,8850,7.94E-06,8850,2.39E-05,8850,3.76E-05
8880,3.05E-06,8880,7.90E-06,8880,2.36E-05,8880,3.72E-05
8910,2.84E-06,8910,7.66E-06,8910,2.35E-05,8910,3.70E-05
8940,2.50E-06,8940,7.41E-06,8940,2.34E-05,8940,3.69E-05
8970,2.23E-06,8970,7.34E-06,8970,2.34E-05,8970,3.65E-05
9000,2.01E-06,9000,7.33E-06,9000,2.34E-05,9000,3.60E-05
9030,1.82E-06,9030,7.34E-06,9030,2.34E-05,9030,3.54E-05
9060,1.78E-06,9060,7.32E-06,9060,2.34E-05,9060,3.46E-05
9090,1.79E-06,9090,7.25E-06,9090,2.34E-05,9090,3.38E-05
9120,1.77E-06,9120,7.13E-06,9120,2.34E-05,9120,3.30E-05
9150,1.69E-06,9150,7.09E-06,9150,2.34E-05,9150,3.23E-05
9180,1.61E-06,9180,7.21E-06,9180,2.34E-05,9180,3.17E-05
9210,1.48E-06,9210,7.48E-06,9210,2.34E-05,9210,3.12E-05
9240,1.24E-06,9240,7.67E-06,9240,2.34E-05,9240,3.08E-05
9270,9.69E-07,9270,7.78E-06,9270,2.34E-05,9270,3.02E-05
9300,7.42E-07,9300,7.94E-06,9300,2.34E-05,9300,2.94E-05
9330,5.53E-07,9330,8.17E-06,9330,2.34E-05,9330,2.83E-05
